"Glacier National Park, Flathead County, US-MT, US",48.62983242,-113.7065696,Grizzly Bear,,"{name:""","Glacier National Park, Flathead County, US-MT, US",", lat:",48.62983242,",",lon:,-113.7065696,"},","{name:""Glacier National Park, Flathead County, US-MT, US, lat:48.6298324213,lon:-113.7065695729},"
"Glacier National Park, Glacier County, US-MT, US",48.85850295,-113.6306149,Grizzly Bear,,"{name:""","Glacier National Park, Glacier County, US-MT, US",", lat:",48.85850295,",",lon:,-113.6306149,"},","{name:""Glacier National Park, Glacier County, US-MT, US, lat:48.8585029518,lon:-113.6306148518},"
"Glacier National Park, Glacier County, US-MT, US",48.76370438,-113.7686007,Grizzly Bear,,"{name:""","Glacier National Park, Glacier County, US-MT, US",", lat:",48.76370438,",",lon:,-113.7686007,"},","{name:""Glacier National Park, Glacier County, US-MT, US, lat:48.7637043775,lon:-113.7686006955},"
"Glacier National Park, Glacier County, US-MT, US",48.62036169,-113.4947407,Grizzly Bear,,"{name:""","Glacier National Park, Glacier County, US-MT, US",", lat:",48.62036169,",",lon:,-113.4947407,"},","{name:""Glacier National Park, Glacier County, US-MT, US, lat:48.6203616875,lon:-113.4947407394},"
"Glacier National Park, Glacier County, US-MT, US",48.94058426,-113.6712397,Grizzly Bear,,"{name:""","Glacier National Park, Glacier County, US-MT, US",", lat:",48.94058426,",",lon:,-113.6712397,"},","{name:""Glacier National Park, Glacier County, US-MT, US, lat:48.9405842584,lon:-113.6712397356},"
"Glacier National Park, Flathead County, US-MT, US",48.755948,-113.9411399,Grizzly Bear,,"{name:""","Glacier National Park, Flathead County, US-MT, US",", lat:",48.755948,",",lon:,-113.9411399,"},","{name:""Glacier National Park, Flathead County, US-MT, US, lat:48.7559479966,lon:-113.9411399017},"
"Lincoln County, US-MT, US",48.71194969,-114.8115868,Grizzly Bear,,"{name:""","Lincoln County, US-MT, US",", lat:",48.71194969,",",lon:,-114.8115868,"},","{name:""Lincoln County, US-MT, US, lat:48.7119496925,lon:-114.8115868243},"
"Lincoln County, US-MT, US",48.77428531,-114.8684593,Grizzly Bear,,"{name:""","Lincoln County, US-MT, US",", lat:",48.77428531,",",lon:,-114.8684593,"},","{name:""Lincoln County, US-MT, US, lat:48.7742853088,lon:-114.8684592656},"
"Glacier National Park, Flathead County, US-MT, US",48.79121226,-113.6069545,Grizzly Bear,,"{name:""","Glacier National Park, Flathead County, US-MT, US",", lat:",48.79121226,",",lon:,-113.6069545,"},","{name:""Glacier National Park, Flathead County, US-MT, US, lat:48.7912122587,lon:-113.6069544886},"
"Flathead County, US-MT, US",48.72086023,-114.2917487,Grizzly Bear,,"{name:""","Flathead County, US-MT, US",", lat:",48.72086023,",",lon:,-114.2917487,"},","{name:""Flathead County, US-MT, US, lat:48.7208602259,lon:-114.2917487366},"
"Glacier National Park, Glacier County, US-MT, US",48.63044974,-113.6003942,Grizzly Bear,,"{name:""","Glacier National Park, Glacier County, US-MT, US",", lat:",48.63044974,",",lon:,-113.6003942,"},","{name:""Glacier National Park, Glacier County, US-MT, US, lat:48.6304497439,lon:-113.6003942068},"
"Glacier National Park, Flathead County, US-MT, US",48.63994045,-113.7403195,Grizzly Bear,,"{name:""","Glacier National Park, Flathead County, US-MT, US",", lat:",48.63994045,",",lon:,-113.7403195,"},","{name:""Glacier National Park, Flathead County, US-MT, US, lat:48.6399404463,lon:-113.7403195445},"
"Glacier National Park, Glacier County, US-MT, US",48.70213742,-113.7732613,Grizzly Bear,,"{name:""","Glacier National Park, Glacier County, US-MT, US",", lat:",48.70213742,",",lon:,-113.7732613,"},","{name:""Glacier National Park, Glacier County, US-MT, US, lat:48.7021374178,lon:-113.7732613083},"
"Glacier National Park, Glacier County, US-MT, US",48.78921049,-113.7747507,Grizzly Bear,,"{name:""","Glacier National Park, Glacier County, US-MT, US",", lat:",48.78921049,",",lon:,-113.7747507,"},","{name:""Glacier National Park, Glacier County, US-MT, US, lat:48.7892104949,lon:-113.7747507237},"
United States,46.94181222,-110.278734,Grizzly Bear,,"{name:""",United States,", lat:",46.94181222,",",lon:,-110.278734,"},","{name:""United States, lat:46.94181222,lon:-110.2787340145},"
United States,46.97088674,-110.3024357,Grizzly Bear,,"{name:""",United States,", lat:",46.97088674,",",lon:,-110.3024357,"},","{name:""United States, lat:46.9708867398,lon:-110.3024357362},"
"Glacier National Park, Flathead County, US-MT, US",48.66131047,-113.7815782,Grizzly Bear,,"{name:""","Glacier National Park, Flathead County, US-MT, US",", lat:",48.66131047,",",lon:,-113.7815782,"},","{name:""Glacier National Park, Flathead County, US-MT, US, lat:48.6613104706,lon:-113.7815782408},"
"Glacier National Park, Glacier County, US-MT, US",48.97523619,-113.7215463,Grizzly Bear,,"{name:""","Glacier National Park, Glacier County, US-MT, US",", lat:",48.97523619,",",lon:,-113.7215463,"},","{name:""Glacier National Park, Glacier County, US-MT, US, lat:48.975236185,lon:-113.7215463161},"
"Montana, US",48.11560648,-112.7621969,Grizzly Bear,,"{name:""","Montana, US",", lat:",48.11560648,",",lon:,-112.7621969,"},","{name:""Montana, US, lat:48.1156064845,lon:-112.7621969475},"
"Glacier National Park, Glacier County, US-MT, US",48.62373743,-113.6272201,Grizzly Bear,,"{name:""","Glacier National Park, Glacier County, US-MT, US",", lat:",48.62373743,",",lon:,-113.6272201,"},","{name:""Glacier National Park, Glacier County, US-MT, US, lat:48.6237374301,lon:-113.6272201371},"
"Glacier National Park, Flathead County, US-MT, US",48.75969139,-113.8449008,Grizzly Bear,,"{name:""","Glacier National Park, Flathead County, US-MT, US",", lat:",48.75969139,",",lon:,-113.8449008,"},","{name:""Glacier National Park, Flathead County, US-MT, US, lat:48.7596913902,lon:-113.8449008482},"
